Digestion_of_triacylglycerols_by_extracellular_PTL:colipase	R-HSA-8935690	Ec-3.1.1.23	TAGs // H2O	17855 // 15377	DAG // LCFAs	18035 // 15904
Digestion_of_diacylglycerols_by_extracellular_PTL:colipase	R-HSA-8935690	Ec-3.1.1.23	DAG // H2O	18035 // 15377	LCFAs // MAG	15904 // 17408
Digestion_of_triacylglycerols_by_extracellular_pancreatic_lipase-related_protein_2	R-HSA-8935690	Ec-3.1.1.23	TAGs // H2O	17855 // 15377	DAG // LCFAs	18035 // 15904
PNLIP:CLPS_hydrolyses_RPALM_to_atROL_and_PALM	R-HSA-8935690	Ec-3.1.1.21	H2O // RPALM	15377 // 17616	PALM // atROL	15756 // 17336
LIPs_hydrolyze_TG_to_DAG_and_LCFA	R-HSA-8935690	Ec-3.1.1.34	H2O // TAGs	15377 // 17855	DAG // LCFAs	18035 // 15904
Digestion_of_linear_starch_(amylose)_by_extracellular_amylase	R-HSA-8935690	Ec-3.2.1.1	H2O // starch_(amylose)	15377 // 	Mal // maltotriose	17306 // 27931
Digestion_of_branched_starch_(amylopectin)_by_extracellular_amylase	R-HSA-8935690	Ec-3.2.1.1	H2O // starch_(amylopectin)	15377 // 	Mal // limit_dextrin // maltotriose	17306 // 28912 // 27931
Digestion_of_1-6_linkages_of_limit_dextrins_to_yield_maltose,_maltotriose,_longer_maltosides,_and_glucose	R-HSA-8935690	Ec-3.2.1.20	limit_dextrin // H2O	28912 // 15377	Mal // Glc // maltotriose	17306 // 17925 // 27931
maltotriose_+_H2O_=>_maltose_+_D-glucose_(maltase-glucoamylase)	R-HSA-8935690	Ec-3.2.1.20	H2O // maltotriose	15377 // 27931	Mal // Glc	17306 // 17925
maltotriose_+_H2O_=>_maltose_+_D-glucose_(sucrase-isomaltase)	R-HSA-8935690	Ec-3.2.1.20	H2O // maltotriose	15377 // 27931	Mal // Glc	17306 // 17925
maltose_+_H2O_=>_2_D-glucose_(maltase-glucoamylase)	R-HSA-8935690	Ec-3.2.1.20	Mal // H2O	17306 // 15377	Glc	17925
maltose_+_H2O_=>_2_D-glucose_(sucrase-isomaltase)	R-HSA-8935690	Ec-3.2.1.20	Mal // H2O	17306 // 15377	Glc	17925
isomaltose_+_H2O_=>_2_D-glucose_(sucrase-isomaltase)	R-HSA-8935690	Ec-3.2.1.20	iMal // H2O	28189 // 15377	Glc	17925
lactose_+_H2O_=>_D-glucose_+_D-galactose	R-HSA-8935690	Ec-3.2.1.108	H2O // Lac	15377 // 17716	Glc // Gal	17925 // 17118
sucrose_+_H2O_=>_glucose_+_fructose	R-HSA-8935690	Ec-3.2.1.48	H2O // Suc	15377 // 17992	Glc // Fru	17925 // 15824
trehalose_+_H2O_=>_2_D-glucose	R-HSA-8935690	Ec-3.2.1.28	H2O // alpha,alpha-trehalose	15377 // 16551	Glc	17925
CHIA_hydrolyses_chitin	R-HSA-8935690	Ec-3.2.1.14	H2O // chitin	15377 // 	GlcNAc-beta1,4-GlcNAc-beta1,4-GlcNAc // GlcNAc-beta1,4-GlcNAc	86362 // 86361
CHIT1_hydrolyses_CHIT_to_3xADGP	R-HSA-8935690	Ec-3.2.1	H2O // CHIT	15377 // 84373	ADGP	47977
ALPI_dimer_hydrolyses_phosphate_monoesters	R-HSA-8935690	Ec-3.1.3.1	H2O // phosphate_monoester	15377 // 7794	Alcohol // Pi	30879 // 43474
GUCY2C_trimer_binds_GUCA2A,B	R-HSA-8935690		GUCY2C_trimer // GUCA2A,B	 // 	GUCY2C_trimer:GUCA2A,B	
PIR_oxygenates_quercetin	R-HSA-8935690	Ec-1.13.11.24	O2 // quercetin	15379 // 16243	CO // 2PCPGCA	17245 // 16068
Digestion_of_linear_starch_(amylose)_by_extracellular_amylase	R-HSA-189085	Ec-3.2.1.1	H2O // starch_(amylose)	15377 // 	Mal // maltotriose	17306 // 27931
Digestion_of_branched_starch_(amylopectin)_by_extracellular_amylase	R-HSA-189085	Ec-3.2.1.1	H2O // starch_(amylopectin)	15377 // 	Mal // limit_dextrin // maltotriose	17306 // 28912 // 27931
Digestion_of_1-6_linkages_of_limit_dextrins_to_yield_maltose,_maltotriose,_longer_maltosides,_and_glucose	R-HSA-189085	Ec-3.2.1.20	limit_dextrin // H2O	28912 // 15377	Mal // Glc // maltotriose	17306 // 17925 // 27931
maltotriose_+_H2O_=>_maltose_+_D-glucose_(maltase-glucoamylase)	R-HSA-189085	Ec-3.2.1.20	H2O // maltotriose	15377 // 27931	Mal // Glc	17306 // 17925
maltotriose_+_H2O_=>_maltose_+_D-glucose_(sucrase-isomaltase)	R-HSA-189085	Ec-3.2.1.20	H2O // maltotriose	15377 // 27931	Mal // Glc	17306 // 17925
maltose_+_H2O_=>_2_D-glucose_(maltase-glucoamylase)	R-HSA-189085	Ec-3.2.1.20	Mal // H2O	17306 // 15377	Glc	17925
maltose_+_H2O_=>_2_D-glucose_(sucrase-isomaltase)	R-HSA-189085	Ec-3.2.1.20	Mal // H2O	17306 // 15377	Glc	17925
isomaltose_+_H2O_=>_2_D-glucose_(sucrase-isomaltase)	R-HSA-189085	Ec-3.2.1.20	iMal // H2O	28189 // 15377	Glc	17925
lactose_+_H2O_=>_D-glucose_+_D-galactose	R-HSA-189085	Ec-3.2.1.108	H2O // Lac	15377 // 17716	Glc // Gal	17925 // 17118
sucrose_+_H2O_=>_glucose_+_fructose	R-HSA-189085	Ec-3.2.1.48	H2O // Suc	15377 // 17992	Glc // Fru	17925 // 15824
trehalose_+_H2O_=>_2_D-glucose	R-HSA-189085	Ec-3.2.1.28	H2O // alpha,alpha-trehalose	15377 // 16551	Glc	17925
CHIA_hydrolyses_chitin	R-HSA-189085	Ec-3.2.1.14	H2O // chitin	15377 // 	GlcNAc-beta1,4-GlcNAc-beta1,4-GlcNAc // GlcNAc-beta1,4-GlcNAc	86362 // 86361
CHIT1_hydrolyses_CHIT_to_3xADGP	R-HSA-189085	Ec-3.2.1	H2O // CHIT	15377 // 84373	ADGP	47977
GLUT1_(SLC2A1)_tetramer_transports_Glc_from_extracellular_region_to_cytosol	R-HSA-189200		Glc	17925	Glc	17925
GLUT1_tetramer_binds_4xATP	R-HSA-189200		GLUT1_/_SLC2A1_tetramer // ATP	 // 30616	GLUT1:ATP_tetramer	
GLUT1:ATP_tetramer_dissociates_to_GLUT1_tetramer_and_4xATP	R-HSA-189200		GLUT1:ATP_tetramer		GLUT1_/_SLC2A1_tetramer // ATP	 // 30616
GLUT2_(SLC2A2)_tetramer_transports_Glc_from_extracellular_region_to_cytosol	R-HSA-189200		Glc	17925	Glc	17925
Glucose_is_secreted_across_the_plasma_membrane	R-HSA-189200		Glc	17925	Glc	17925
GLUT3_(SLC2A3)_tetramer_transports_Glc_from_extracellular_region_to_cytosol	R-HSA-189200		Glc	17925	Glc	17925
GLUT4_(SLC2A4)_tetramer_transports_Glc_from_extracellular_region_to_cytosol	R-HSA-189200		Glc	17925	Glc	17925
SLC2A9_transports_Fru,_Glc,_urate	R-HSA-189200		Fru,Glc,urate		Fru,Glc,urate	
Glucose_transport_by_class_III_GLUTs	R-HSA-189200		Glc	17925	Glc	17925
GLUT7_and_GLUT11_transport_glucose_and_fructose	R-HSA-189200		hexoses_transported_by_GLUT7/11		hexoses_transported_by_GLUT7/11	
GLUT14_(SLC2A14)_tetramer_transports_Glc_from_extracellular_region_to_cytosol	R-HSA-189200		Glc	17925	Glc	17925
SLC5A2_cotransports_Na+_and_glucose_from_extracellular_region_to_cytosol	R-HSA-189200		Na+ // Glc	29101 // 17925	Glc // Na+	17925 // 29101
SLC5A2_binds_gliflozins	R-HSA-189200		gliflozins // SGLT2	 // 	SLC5A2:gliflozins	
SLC5A10_cotransports_Na+_with_Man,_Fru_from_extracellular_region_to_cytosol	R-HSA-189200		Na+ // Fru,_Man	29101 // 	Fru,_Man // Na+	 // 29101
SLC45A3_transports_Glc_from_extracellular_region_to_cytosol	R-HSA-189200		Glc	17925	Glc	17925
SLC50A1_transports_Glc_from_cytosol_to_extracellular_region	R-HSA-189200		Glc	17925	Glc	17925
Co-transport_(influx)_of_glucose_and_Na+_ions_by_SLC5As,_NAGLT1	R-HSA-189200		Na+ // Glc	29101 // 17925	Glc // Na+	17925 // 29101
Co-transport_(influx)_of_glucose/mannose_and_Na+_ions_by_SGLT4	R-HSA-189200		Na+ // hexoses_transported_by_SGLT4	29101 // 	Na+ // hexoses_transported_by_SGLT4	29101 // 
Defective_SI_does_not_hydrolyze_Mal	R-HSA-5659898	Ec-3.2.1.20	Mal // H2O	17306 // 15377		
Defective_SI_does_not_hydrolyze_iMal	R-HSA-5659898	Ec-3.2.1.20	iMal // H2O	28189 // 15377		
Defective_SI_does_not_hydrolyze_Suc	R-HSA-5659898	Ec-3.2.1.48	H2O // Suc	15377 // 17992		
Defective_SI_does_not_hydrolyze_maltotriose	R-HSA-5659898	Ec-3.2.1.20	H2O // maltotriose	15377 // 27931		
Defective_LCT_does_not_hydrolyze_Lac	R-HSA-5659898	Ec-3.2.1.108	H2O // Lac	15377 // 17716		
UBIA1D_prenylates_menadione_to_form_MK4_(vitamin_K_hydroquinone)	R-HSA-6806664	Ec-2.5.1	menadione // GGPP	28869 // 57533	MK4 // PPi	78277 // 33019
VKORC1_inhibitors_binds_VKORC1_dimer	R-HSA-6806664		VKORC1_dimer // VKORC1_inhibitors	 // 	VKORC1_inhibitors:VKORC1_dimer	
MK4_epoxide_=>_MK4	R-HSA-6806664	Ec-1.17.4.4	H+ // MK4_epoxide	15378 // 90152	MK4	78277
MK4_epoxide_=>_MK4	R-HSA-6806664	Ec-1.17.4.4	H+ // MK4_epoxide	15378 // 90152	MK4	78277
